search_year,rank,movie_code,movie_name,open_date,sales_amount,sales_share,audience_count,screen_count,nation,movie_type,final_base_year_month,crawled_at
2004,1,20030371,태극기 휘날리며,2004-02-05,0,0.0,11746135,110,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,2,20030410,실미도,2003-12-24,0,0.0,8801840,,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,3,20040481,어린 신부,2004-04-02,0,0.0,3149500,50,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,4,20030433,말죽거리 잔혹사,2004-01-16,0,0.0,3115767,67,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,5,20040649,귀신이 산다,2004-09-17,0,0.0,2890000,70,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,6,20040673,내 머리 속의 지우개,2004-11-05,0,0.0,2565078,68,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,7,20040628,우리 형,2004-10-08,0,0.0,2479585,77,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,8,20040596,바람의 파이터,2004-08-12,0,0.0,2346446,41,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,9,20040568,내 여자친구를 소개합니다,2004-06-03,0,0.0,2199359,75,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,10,20040576,늑대의 유혹,2004-07-22,0,0.0,2189453,40,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,11,20040487,범죄의 재구성,2004-04-15,0,0.0,2129358,50,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,12,20040488,아라한 장풍대작전,2004-04-30,0,0.0,2050000,87,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,13,20040617,시실리 2km,2004-08-13,0,0.0,1987380,36,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,14,20040483,효자동 이발사,2004-05-05,0,0.0,1972377,65,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,15,20040554,가족,2004-09-03,0,0.0,1932304,44,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,16,20030413,목포는 항구다,2004-02-20,0,0.0,1795700,32,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,17,20040613,알포인트,2004-08-20,0,0.0,1689000,42,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,18,20040641,S 다이어리,2004-10-22,0,0.0,1531840,58,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,19,20030435,내사랑 싸가지,2004-01-16,0,0.0,1513000,33,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,20,20040671,주홍글씨,2004-10-29,0,0.0,1437549,76,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,21,20040595,"달마야, 서울 가자",2004-07-09,0,0.0,1272000,54,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,22,20040682,역도산,2004-12-15,0,0.0,1249794,70,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,23,20040612,신부수업,2004-08-05,0,0.0,1242476,56,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,24,20040446,그녀를 믿지 마세요,2004-02-20,0,0.0,1204000,43,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,25,20040657,여선생 VS 여제자,2004-11-17,0,0.0,1175580,55,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,26,20040571,령,2004-06-17,0,0.0,1108769,35,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,27,20040585,내 남자의 로맨스,2004-07-16,0,0.0,1083556,47,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,28,20040593,분신사바,2004-08-05,0,0.0,1001125,40,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,29,20040567,투 가이즈,2004-07-09,0,0.0,931000,39,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,30,20040624,누구나 비밀은 있다,2004-07-30,0,0.0,896000,50,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,31,20040659,돈 텔 파파,2004-09-03,0,0.0,880744,32,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,32,20040482,맹부삼천지교,2004-03-26,0,0.0,860044,31,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,33,20040583,아는 여자,2004-06-25,0,0.0,838000,40,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,34,20040619,슈퍼스타 감사용,2004-09-17,0,0.0,834706,43,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,35,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,0,0.0,830000,55,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,36,20040498,그놈은 멋있었다,2004-07-22,0,0.0,800000,34,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,37,20030408,해피 에로 크리스마스,2003-12-17,0,0.0,726783,47,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,38,20040651,꽃피는 봄이 오면,2004-09-23,0,0.0,717618,46,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,39,20040515,인어 공주,2004-06-30,0,0.0,661679,44,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,40,20030420,동해물과 백두산이,2003-12-31,0,0.0,659544,32,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,41,20040484,하류인생,2004-05-21,0,0.0,550000,56,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,42,20040456,어깨동무,2004-03-12,0,0.0,545735,43,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,43,20040625,얼굴 없는 미녀,2004-08-06,0,0.0,520753,29,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,44,20040589,페이스,2004-06-11,0,0.0,474000,37,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,45,20040496,아홉살 인생,2004-03-26,0,0.0,352182,27,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,46,20040658,썸,2004-10-22,0,0.0,346000,35,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,47,20040559,나두야 간다,2004-06-25,0,0.0,342300,20,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,48,20040614,인형사,2004-07-30,0,0.0,339038,15,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,49,20040489,여자는 남자의 미래다,2004-05-05,0,0.0,284872,36,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2004,50,20040637,쓰리 몬스터,2004-08-20,0,0.0,281540,28,한국,전체,2026/03,2026-05-28T11:10:46.463968+00:00
2005,1,20050180,웰컴 투 동막골,2005-08-04,0,0.0,8008622,114,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,2,20050219,가문의 위기,2005-09-07,0,0.0,5635266,101,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,3,20040785,말아톤,2005-01-27,0,0.0,5148022,73,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,4,20040786,공공의 적 2,2005-01-27,0,0.0,3911356,95,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,5,20050326,태풍,2005-12-14,0,0.0,3723752,115,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,6,20050148,친절한 금자씨,2005-07-29,0,0.0,3650000,127,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,7,20040778,마파도,2005-03-10,0,0.0,3090467,58,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,8,20050239,너는 내 운명,2005-09-23,0,0.0,3051134,92,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,9,20050232,내 생애 가장 아름다운 일주일,2005-10-07,0,0.0,2533103,105,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,10,20050178,박수칠 때 떠나라,2005-08-11,0,0.0,2475291,78,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,11,20050292,광식이 동생 광태,2005-11-23,0,0.0,2430200,83,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,12,20050076,혈의 누,2005-05-04,0,0.0,2274995,98,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,13,20050077,댄서의 순정,2005-04-28,0,0.0,2197555,68,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
2005,14,20050013,잠복근무,2005-03-17,0,0.0,1914941,64,한국,전체,2026/03,2026-05-28T11:10:46.978549+00:00
